"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","youtube.com","22,450,079","100"
"2","www.google.com","14,259,548","100"
"3","apple.com","6,441,181","100"
"4","www.blogger.com","29,832,457","99"
"5","support.google.com","5,356,298","99"
"6","play.google.com","3,804,186","99"
"7","linkedin.com","11,823,912","99"
"8","microsoft.com","5,144,313","99"
"9","wordpress.org","11,851,471","98"
"10","youtu.be","5,105,417","98"
"11","mozilla.org","2,381,320","98"
"12","docs.google.com","3,271,472","98"
"13","en.wikipedia.org","6,939,984","98"
"14","cloudflare.com","6,394,571","98"
"15","maps.google.com","5,841,210","98"
"16","drive.google.com","2,404,860","97"
"17","sites.google.com","2,183,092","97"
"18","accounts.google.com","2,567,087","97"
"19","plus.google.com","11,161,945","97"
"20","adobe.com","2,851,871","97"
"21","googleusercontent.com","3,343,476","97"
"22","europa.eu","2,209,637","97"
"23","bp.blogspot.com","17,814,964","97"
"24","whatsapp.com","3,618,723","97"
"25","uol.com.br","685,882","96"
"26","github.com","2,825,101","96"
"27","vimeo.com","3,531,491","96"
"28","istockphoto.com","3,599,047","96"
"29","facebook.com","58,405,749","96"
"30","vk.com","1,784,119","96"
"31","amazon.com","4,927,089","96"
"32","policies.google.com","2,621,855","96"
"33","t.me","1,187,764","96"
"34","search.google.com","1,454,909","95"
"35","google.co.jp","657,512","95"
"36","jimdofree.com","1,716,947","95"
"37","wikimedia.org","2,031,926","95"
"38","ok.ru","361,778","95"
"39","theguardian.com","1,573,238","95"
"40","medium.com","1,729,643","95"
"41","creativecommons.org","1,727,279","95"
"42","nytimes.com","2,180,128","95"
"43","imdb.com","1,513,761","95"
"44","files.wordpress.com","7,647,310","95"
"45","pt.wikipedia.org","416,872","95"
"46","developers.google.com","1,118,056","95"
"47","myspace.com","1,378,256","95"
"48","dropbox.com","1,100,363","95"
"49","gstatic.com","625,438","95"
"50","gravatar.com","12,298,390","95"
"51","google.de","1,124,491","95"
"52","who.int","2,000,721","95"
"53","brandbucket.com","11,194,834","95"
"54","paypal.com","1,118,412","95"
"55","mail.ru","483,415","95"
"56","google.es","476,402","95"
"57","dailymotion.com","1,136,555","95"
"58","forbes.com","1,403,201","95"
"59","www.weebly.com","5,134,949","95"
"60","live.com","934,720","95"
"61","tools.google.com","1,718,097","95"
"62","draft.blogger.com","10,995,317","95"
"63","google.com.br","296,091","95"
"64","globo.com","451,238","95"
"65","enable-javascript.com","9,108,317","95"
"66","slideshare.net","1,005,015","95"
"67","issuu.com","992,447","95"
"68","youronlinechoices.com","574,357","95"
"69","bbc.co.uk","1,735,029","95"
"70","feedburner.com","1,809,056","95"
"71","news.google.com","791,332","95"
"72","dan.com","3,717,700","95"
"73","es.wikipedia.org","958,784","95"
"74","cnn.com","1,632,297","95"
"75","fr.wikipedia.org","633,060","95"
"76","nih.gov","1,444,696","95"
"77","www.yahoo.com","1,337,897","95"
"78","line.me","882,981","95"
"79","buydomains.com","1,076,519","95"
"80","usatoday.com","864,417","94"
"81","researchgate.net","709,423","94"
"82","google.it","442,707","94"
"83","scribd.com","768,704","94"
"84","fandom.com","608,633","94"
"85","t.co","2,144,107","94"
"86","storage.googleapis.com","847,196","94"
"87","fb.com","459,840","94"
"88","marketingplatform.google....","855,246","94"
"89","dailymail.co.uk","1,120,794","94"
"90","list-manage.com","786,556","94"
"91","un.org","603,400","94"
"92","shutterstock.com","522,769","94"
"93","ig.com.br","157,738","94"
"94","ytimg.com","928,534","94"
"95","de.wikipedia.org","674,751","94"
"96","businessinsider.com","861,416","94"
"97","tiktok.com","656,991","94"
"98","independent.co.uk","767,433","94"
"99","cdc.gov","899,661","94"
"100","4shared.com","561,213","94"
"101","forms.gle","750,653","94"
"102","amazon.co.uk","780,298","94"
"103","namecheap.com","1,122,564","94"
"104","nature.com","617,362","94"
"105","plesk.com","698,976","94"
"106","shopify.com","2,488,656","94"
"107","office.com","583,783","94"
"108","news.yahoo.com","689,760","94"
"109","huffingtonpost.com","1,086,214","94"
"110","wikihow.com","615,702","94"
"111","yandex.ru","1,027,668","94"
"112","opera.com","938,465","94"
"113","bit.ly","4,891,990","94"
"114","domainmarket.com","1,088,263","94"
"115","msn.com","1,104,877","94"
"116","foxnews.com","587,765","94"
"117","mirror.co.uk","414,461","94"
"118","picasaweb.google.com","634,701","94"
